"code","name","parent code"
"physics.space-ph","Space Physics","physics"
"cs.GT","Computer Science and Game Theory","cs"
"nucl-th","Nuclear Theory",
"cond-mat.soft","Soft Condensed Matter","cond-mat"
"nlin.CG","Cellular Automata and Lattice Gases","nlin"
"physics.flu-dyn","Fluid Dynamics","physics"
"math.RA","Rings and Algebras","math"
"cs.IR","Information Retrieval","cs"
"math.AP","Analysis of PDEs","math"
"nlin.SI","Exactly Solvable and Integrable Systems","nlin"
"physics.pop-ph","Popular Physics","physics"
"astro-ph.HE","High Energy Astrophysical Phenomena","astro-ph"
"cs.CC","Computational Complexity","cs"
"q-bio.TO","Tissues and Organs","q-bio"
"stat.OT","Other Statistics","stat"
"physics.gen-ph","General Physics","physics"
"hep-lat","High Energy Physics - Lattice",
"cs.SD","Sound","cs"
"cs.SC","Symbolic Computation","cs"
"cs.MA","Multiagent Systems","cs"
"cs.DC","Distributed, Parallel, and Cluster Computing","cs"
"cs.FL","Formal Languages and Automata Theory","cs"
"nucl-ex","Nuclear Experiment",
"physics.hist-ph","History and Philosophy of Physics","physics"
"cs.GR","Graphics","cs"
"cs.PL","Programming Languages","cs"
"q-bio.OT","Other Quantitative Biology","q-bio"
"math.GR","Group Theory","math"
"q-bio.SC","Subcellular Processes","q-bio"
